stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
6520,26520,TUCKERMAN LA & COLDSTREAM DR,,39.047085,-77.182236,,,,
6522,26522,TUCKERMAN LA & TOULONE DR,,39.04798,-77.183189,,,,
6524,26524,TUCKERMAN LA & JUDY PL,,39.048801,-77.184242,,,,
6526,26526,TUCKERMAN LA & KAREN DR,,39.049749,-77.186343,,,,
6528,26528,TWINBROOK PKW & PARKLAWN DR,,39.062214,-77.11631,,,,
6530,26530,TWINBROOK PKW & ARDENNES AVE,,39.063946,-77.115822,,,,
6532,26532,TWINBROOK PKW & ALDERBROOK CT,,39.066593,-77.114559,,,,
6534,26534,TWINBROOK PKW & BESLEY CT,,39.067611,-77.114125,,,,
6536,26536,TWINBROOK PKW & DOWGATE CT,,39.070084,-77.113914,,,,
6538,26538,TWINBROOK PKW & VEIRS MILL RD,,39.072177,-77.112944,,,,
6540,26540,TWINBROOK PKW & MCAULIFFE DR,,39.074299,-77.111317,,,,
6542,26542,TWINBROOK PKW & MEADOW HALL DR,,39.076099,-77.111359,,,,
6544,26544,TWINBROOK PKW & PINEBERG AVE,,39.078415,-77.112396,,,,
6546,26546,TWINBROOK PKW & LINTHICUM ST,,39.080799,-77.113457,,,,
6548,26548,TWINBROOK PKW & MARSHALL AVE,,39.082379,-77.114765,,,,
6550,26550,TWINBROOK PKW & SHETLAND ST,,39.083675,-77.116226,,,,
6552,26552,TWINBROOK PKW & FLETCHER PL,,39.084304,-77.117456,,,,
6554,26554,TWINBROOK PKW & FLETCHER PL,,39.084476,-77.117981,,,,
6556,26556,TWINBROOK PKW & SHETLAND ST,,39.083463,-77.116084,,,,
6558,26558,TWINBROOK PKW & MARSHALL AVE,,39.082211,-77.114799,,,,
6560,26560,TWINBROOK PKW & LINTHICUM ST,,39.080635,-77.113571,,,,
6562,26562,TWINBROOK PKW & PINEBERG AVE,,39.078369,-77.112549,,,,
6564,26564,TWINBROOK PKW & MEADOW HALL DR,,39.076083,-77.111562,,,,
6566,26566,TWINBROOK PKW & MCAULIFFE DR,,39.074646,-77.111431,,,,
6568,26568,TWINBROOK PKW & VEIRS MILL RD,,39.072955,-77.11254,,,,
6570,26570,TWINBROOK PKW & TWINBROOK COMMUNITY CENTER,,39.07045,-77.114066,,,,
6572,26572,TWINBROOK PKW & PIER DR,,39.068184,-77.114273,,,,
6574,26574,TWINBROOK PKW & HALPINE RD,,39.066598,-77.114789,,,,
6576,26576,TWINBROOK PKW & ARDENNES AVE,,39.063998,-77.116201,,,,
6578,26578,TWINBROOK PKW & PARKLAWN DR,,39.061845,-77.116484,,,,
6580,26580,TWINBROOK STATION & BAY C - EAST,,39.062016,-77.119797,,,,
6582,26582,TWINBROOK STATION & BAY E - EAST,,39.061779,-77.119475,,,,
6586,26586,TWINBROOK STATION & BAY A - WEST,,39.061829,-77.120438,,,,
6588,26588,TWINBROOK STATION & BAY B - WEST,,39.061806,-77.121002,,,,
6590,26590,CONNECTICUT AVE & CONCORD AVE,,39.031185,-77.075033,,,,
6592,26592,UNIVERSITY BLV W & LEXINGTON ST,,39.033403,-77.072826,,,,
6594,26594,UNIVERSITY BLV W & DECATUR AVE,,39.034172,-77.071548,,,,
6596,26596,UNIVERSITY BLV W & MADISON ST,,39.0348,-77.069974,,,,
6598,26598,UNIVERSITY BLV W & ST PAUL ST,,39.035159,-77.06786,,,,
6600,26600,UNIVERSITY BLV W & HOBSON ST,,39.035539,-77.065193,,,,
6602,26602,UNIVERSITY BLV W & DRUMM AVE,,39.036983,-77.060812,,,,
6604,26604,UNIVERSITY BLV W & EAST AVE,,39.038506,-77.05777,,,,
6608,26608,UNIVERSITY BLV W & VEIRS MILL RD,,39.039603,-77.055929,,,,
6612,26612,UNIVERSITY BLV W & WESTCHESTER DR,,39.040582,-77.044715,,,,
6614,26614,UNIVERSITY BLV W & REEDIE DR,,39.040004,-77.043261,,,,
6616,26616,UNIVERSITY BLV W & DAYTON ST,,39.03894,-77.041773,,,,
6618,26618,UNIVERSITY BLV W & EASECREST DR,,39.037777,-77.040516,,,,
6620,26620,UNIVERSITY BLV W & GLENPARK DR,,39.036446,-77.038467,,,,
6622,26622,UNIVERSITY BLV W & INWOOD AVE,,39.036011,-77.036542,,,,
6624,26624,UNIVERSITY BLV W & INWOOD AVE,,39.035995,-77.035995,,,,
6628,26628,UNIVERSITY BLV W & SLIGO CREEK PKWY,,39.0364,-77.030182,,,,
6634,26634,UNIVERSITY BLV W & GABEL ST,,39.033593,-77.023994,,,,
6636,26636,UNIVERSITY BLV W & @728,,39.03108,-77.022255,,,,
6638,26638,UNIVERSITY BLV W & ORANGE DR,,39.030116,-77.0215,,,,
6640,26640,UNIVERSITY BLV W & DENNIS AVE,,39.026695,-77.020508,,,,
6642,26642,UNIVERSITY BLV W & ROYALTON DR,,39.024498,-77.018991,,,,
6644,26644,UNIVERSITY BLV W & BRUNETT AVE,,39.02315,-77.017118,,,,
6646,26646,UNIVERSITY BLV W & LORAIN AVE,,39.021484,-77.014915,,,,
6648,26648,UNIVERSITY BLV W & COLESVILLE RD,,39.019847,-77.013578,,,,
6650,26650,UNIVERSITY BLV E & LEXINGTON DR,,39.01899,-77.011182,,,,
6652,26652,UNIVERSITY BLV E & ST LAWRENCE DR,,39.018738,-77.008513,,,,
6654,26654,UNIVERSITY BLV E & WILLIAMSBURG DR,,39.017342,-77.006779,,,,
6658,26658,UNIVERSITY BLV E & INDIAN SPRING DR,,39.013546,-77.003895,,,,
6660,26660,UNIVERSITY BLV E & FRANKLIN AVE,,39.012228,-77.002875,,,,
6662,26662,UNIVERSITY BLV E & FRANKLIN AVE,,39.011689,-77.002462,,,,
6664,26664,UNIVERSITY BLV E & DEARBORN AVE,,39.010689,-77.001457,,,,
6668,26668,UNIVERSITY BLV E & SCHUYLER RD,,39.00822,-76.998641,,,,
6670,26670,UNIVERSITY BLV E & WAYNE AVE,,39.006236,-76.997753,,,,
6672,26672,UNIVERSITY BLV E & GLENVILLE RD,,39.00485,-76.997139,,,,
6674,26674,UNIVERSITY BLV E & PATTON DR,,39.00267,-76.996025,,,,
6676,26676,UNIVERSITY BLV E & LANGLEY DR,,39.001663,-76.995781,,,,
6678,26678,UNIVERSITY BLV E & PINEY BRANCH RD,,38.998947,-76.995201,,,,
6680,26680,UNIVERSITY BLV E & SEEK LA,,38.997463,-76.994041,,,,
6682,26682,UNIVERSITY BLV E & BAYFIELD ST,,38.996033,-76.993332,,,,
6684,26684,UNIVERSITY BLV E & FORSTON ST,,38.994915,-76.993019,,,,
6686,26686,UNIVERSITY BLV E & MERRIMAC DR,,38.992896,-76.991718,,,,
6690,26690,TAKOMA-LANGLEY TRANSIT CENTER & BAY A,,38.990632,-76.989271,,,,
6691,26691,UNIVERSITY BLV E & MERRIMAC DR,,38.992699,-76.991192,,,,
6692,26692,UNIVERSITY BLV E & NAVAHOE DR,,38.993347,-76.991898,,,,
6694,26694,UNIVERSITY BLV E & CARROLL AVE,,38.994993,-76.992738,,,,
6696,26696,UNIVERSITY BLV E & BAYFIELD ST,,38.996437,-76.993156,,,,
6698,26698,UNIVERSITY BLV E & SEEK LA,,38.997723,-76.99387,,,,
6700,26700,UNIVERSITY BLV E & PINEY BRANCH RD,,39.000173,-76.99536,,,,
6702,26702,UNIVERSITY BLV E & LANGLEY DR,,39.001221,-76.995445,,,,
6704,26704,UNIVERSITY BLV E & PATTON DR,,39.00247,-76.995577,,,,
6706,26706,UNIVERSITY BLV E & SEPTEMBER LA,,39.005168,-76.996919,,,,
